,D-galactose,maltose,D-mannose,raffinose,sucrose,D-arabinose,(R)-lactate,D-ribose,ethanol,D-fructose,L-arabinose,pyruvate,turanose,D-glucose
ammonium,0.06396316,0,0.268469198,0.196534735,0.196534735,0,0.147414123,0,0.126215459,0.226171058,0,0.087206643,0.062540202,0.212804293
L-asparagine,0.082973593,0,0.269676294,0.236784933,0.236784933,0,0.135740326,0,0.122984169,0.240208423,0,0.063103335,0.065218857,0.26283349
cytosine,0.058724903,0.085835623,0.2164115,0.230560965,0.230560965,0.090866124,0.065711083,0.107666713,0.043152848,0.213402368,0,0.071463677,0.094059536,0.281337061
gamma-aminobutyrate,0.091119791,0,0.162364349,0.225077115,0.225077115,0.071776444,0.079831997,0,0.105298034,0.238985315,0,0.054503286,0.052894322,0.200312726
L-glycine,0,0,0.140703193,0.130153819,0.130153819,0,0.168872522,0,0.071601521,0.18599827,0,0,0.07331995,0.08084151
L-alanine,0.019564706,0,0.150315464,0.158751113,0.158751113,0,0.156912612,0,0.139181879,0.181696362,0,0.137553117,0.126084639,0.185413253
L-arginine,0.061377872,0,0.261981221,0.202215634,0.202215634,0,0.180496998,0,0.08742059,0.254575934,0,0.006836987,0.038270724,0.264866883
L-aspartate,0.10727265,0,0.231458357,0.248717516,0.248717516,0,0.203499585,0,0.065358045,0.271829043,0,0.092324589,0.071137257,0.237099508
L-citrulline,0.089563874,0,0.230429097,0.217962871,0.217962871,0,0.155392965,0,0.106008275,0.231338929,0,0.081295082,0.096597185,0.212342956
L-glutamate,0.060785182,0.074435025,0.229054164,0.197001499,0.197001499,0.081029498,0.064360909,0.06625898,0.107724595,0.25057332,0.010225912,0.155247699,0.045054031,0.252835187
L-glutamine,0.086273102,0,0.276087736,0.204359494,0.204359494,0,0,0,0.11214766,0.251296092,0,0.066870424,0.057895979,0.265431008
L-histidine,0,0,0.080316364,0,0,0,0.143206264,0,0,0.069365761,0,0,0.043514512,0.088474486
L-isoleucine,0,0,0.152549524,0.111643843,0.111643843,0,0,0,0,0.15038744,0,0,0.045682024,0.22146121
L-leucine,0,0,0.128044168,0.120371925,0.120371925,0,0,0,0.046885277,0.132900785,0,0,0.050211085,0.192643737
L-methionine,0.011923153,0,0.126857559,0.14210836,0.14210836,0.016483766,0.039198676,0.045858434,0,0.159248689,0,0.034282183,0.04193468,0.166200299
ornithine,0.060878333,0,0.197151919,0.183405247,0.183405247,0,0.10256131,0,0.091899028,0.225634106,0,0.070320573,0.045086586,0.207335261
L-phenylalanine,0.061134269,0.07281824,0.204407488,0.17097446,0.17097446,0.079119325,0.092682618,0.029146837,0.061455606,0.228653801,0,0.059220184,0.076968892,0.262647242
L-proline,0.085822985,0,0.206463873,0.207590951,0.207590951,0.064058707,0.1438821,0,0.04342066,0.211741022,0,0.066944992,0.036525073,0.243175477
L-serine,0.056623052,0,0.152354551,0.18259692,0.18259692,0.04254931,0.131916344,0,0.115016287,0.156581658,0,0,0.045558042,0.162538745
L-threonine,0,0,0.175017892,0.173579411,0.173579411,0,0.078690061,0,0,0.205964984,0,0,0.141784527,0.183477205
L-tryptophan,0.077910158,0.099824352,0.218799164,0.120982603,0.120982603,0.078123849,0,0,0.095758502,0.228430329,0,0,0.08962194,0.234881522
L-valine,0,0,0.209550354,0.248822997,0.248822997,0,0.105684532,0,0,0.202811697,0,0,0.066500066,0.242617945
urea,0.063026173,0,0.255640024,0.227216293,0.227216293,0.059759653,0.124372166,0,0.052519988,0.235677526,0,0.065773038,0.057639105,0.230179583
